Id;Class;Order;Family;SubFamily;Genus;specific epithet;                  Binomial sp                 ;Individuals
22;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;lunatipes;Anomiopus lunatipes;NA
23;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;mourai;Anomiopus mourai;NA
24;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;myrmidon;Anomiopus myrmidon;NA
25;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;palmispinus;Anomiopus palmispinus;NA
26;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;paraensis;Anomiopus paraensis;NA
27;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;parallelus;Anomiopus parallelus;NA
28;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;pereirai;Anomiopus pereirai;NA
29;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;pictus;Anomiopus pictus;NA
30;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;puncticollis;Anomiopus puncticollis;NA
31;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;simplex;Anomiopus simplex;NA
32;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;smaragdinus;Anomiopus smaragdinus;NA
33;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;validus;Anomiopus validus;NA
34;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;virescens;Anomiopus virescens;NA
35;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;zaguryi;Anomiopus zaguryi;NA
36;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;alvarezi;Ateuchus alvarezi;NA
37;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;calcaratus;Ateuchus calcaratus;NA
38;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;connexus;Ateuchus connexus;NA
39;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;freudei;Ateuchus freudei;NA
40;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;frontalis;Ateuchus frontalis;NA
41;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;globulus;Ateuchus globulus;NA
42;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;irinus;Ateuchus irinus;NA
43;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;laevicollis;Ateuchus laevicollis;NA
44;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;murrayi;Ateuchus murrayi;NA
45;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;pauki;Ateuchus pauki;NA
46;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;pygidialis;Ateuchus pygidialis;NA
47;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;romani;Ateuchus romani;NA
48;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;striatulus;Ateuchus striatulus;NA
49;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;substriatus;Ateuchus substriatus;NA
50;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;tridenticeps;Ateuchus tridenticeps;NA
51;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Ateuchus;vividus;Ateuchus vividus;NA
52;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;amazonensis;Bdelyrus amazonensis;NA
53;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;apaporisae;Bdelyrus apaporisae;NA
54;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;ashei;Bdelyrus ashei;NA
55;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;geijskesi;Bdelyrus geijskesi;NA
56;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;genieri;Bdelyrus genieri;NA
57;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;grandis;Bdelyrus grandis;NA
58;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;howdeni;Bdelyrus howdeni;NA
59;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;iauaretensis;Bdelyrus iauaretensis;NA
60;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;leptomerus;Bdelyrus leptomerus;NA
61;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;lobatus;Bdelyrus lobatus;NA
62;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;metaensis;Bdelyrus metaensis;NA
63;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;paraensis;Bdelyrus paraensis;NA
64;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;parvoculus;Bdelyrus parvoculus;NA
65;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;parvus;Bdelyrus parvus;NA
66;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;pecki;Bdelyrus pecki;NA
67;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bdelyrus;peruviensis;Bdelyrus peruviensis;NA
68;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Besourenga;horacioi;Besourenga horacioi;NA
69;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Bradypodidium;adisi;Bradypodidium adisi;NA
70;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;aeneolum;Canthidium aeneolum;NA
71;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;aterrimum;Canthidium aterrimum;NA
72;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;atomarium;Canthidium atomarium;NA
73;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;atramentarium;Canthidium atramentarium;NA
74;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;aurichalceum;Canthidium aurichalceum;NA
75;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;auricolle;Canthidium auricolle;NA
76;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;basale;Canthidium basale;NA
77;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;basipunctatum;Canthidium basipunctatum;NA
78;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;batesi;Canthidium batesi;NA
79;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;bicolor;Canthidium bicolor;NA
80;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;cereum;Canthidium cereum;NA
81;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;chrysis;Canthidium chrysis;NA
82;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;cognatum;Canthidium cognatum;NA
83;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;collare;Canthidium collare;NA
84;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;cupreum;Canthidium cupreum;NA
85;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;decoratum;Canthidium decoratum;NA
86;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;deyrollei;Canthidium deyrollei;NA
87;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;dimidiatum;Canthidium dimidiatum;NA
88;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;discolor;Canthidium discolor;NA
89;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;dohrni;Canthidium dohrni;NA
90;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;epistomale;Canthidium epistomale;NA
91;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;erythropterum;Canthidium erythropterum;NA
92;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;flabellatum;Canthidium flabellatum;NA
93;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;funebre;Canthidium funebre;NA
94;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;gerstaeckeri;Canthidium gerstaeckeri;NA
95;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;guyanense;Canthidium guyanense;NA
96;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;haagi;Canthidium haagi;NA
97;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;humerale;Canthidium humerale;NA
98;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;kiesenwetteri;Canthidium kiesenwetteri;NA
99;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;laevigatum;Canthidium laevigatum;NA
100;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;latipleurum;Canthidium latipleurum;NA
101;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;lentum;Canthidium lentum;NA
102;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;metallicum;Canthidium metallicum;NA
103;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;minimum;Canthidium minimum;NA
104;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;miscellum;Canthidium miscellum;NA
105;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;multipunctatum;Canthidium multipunctatum;NA
106;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;nanum;Canthidium nanum;NA
107;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;nitidum;Canthidium nitidum;NA
108;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;obscurum;Canthidium obscurum;NA
109;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;onitoides;Canthidium onitoides;NA
110;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;paranum;Canthidium paranum;NA
111;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;parvulum;Canthidium parvulum;NA
112;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;punctatostriatum;Canthidium punctatostriatum;NA
113;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;quadridens;Canthidium quadridens;NA
114;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;refulgens;Canthidium refulgens;NA
115;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;ruficolle;Canthidium ruficolle;NA
116;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;rufinum;Canthidium rufinum;NA
117;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;rufipes;Canthidium rufipes;NA
118;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;rutilum;Canthidium rutilum;NA
119;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;semicupreum;Canthidium semicupreum;NA
120;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;smaragdinum;Canthidium smaragdinum;NA
121;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;splendidum;Canthidium splendidum;NA
122;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;stali;Canthidium stali;NA
123;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;stofeli;Canthidium stofeli;NA
124;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;thalassinum;Canthidium thalassinum;NA
125;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;tricolor;Canthidium tricolor;NA
126;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthidium;viridiobscurum;Canthidium viridiobscurum;NA
127;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;bicolor;Canthon bicolor;NA
128;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;bimaculatus;Canthon bimaculatus;NA
129;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;bipunctatus;Canthon bipunctatus;NA
130;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;brunnipennis;Canthon brunnipennis;NA
131;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;chalybaeus;Canthon chalybaeus;NA
132;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;chiriguano;Canthon chiriguano;NA
133;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;cinctellus;Canthon cinctellus;NA
134;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;coloratus;Canthon coloratus;NA
135;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;conformis;Canthon conformis;NA
136;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;curvodilatatus;Canthon curvodilatatus;NA
137;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;delpontei;Canthon delpontei;NA
138;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;dives;Canthon dives;NA
139;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;fortemarginatus;Canthon fortemarginatus;NA
140;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;fulgidus;Canthon fulgidus;NA
141;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;histrio;Canthon histrio;NA
142;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;lituratus;Canthon lituratus;NA
143;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;luteicollis;Canthon luteicollis;NA
144;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;monilifer;Canthon monilifer;NA
145;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;mutabilis;Canthon mutabilis;NA
146;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;octodentatus;Canthon octodentatus;NA
147;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;quadriguttatus;Canthon quadriguttatus;NA
148;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;quadrimaculatus;Canthon quadrimaculatus;NA
149;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;quinquemaculatus;Canthon quinquemaculatus;NA
150;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;rubrescens;Canthon rubrescens;NA
151;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;rufocoeruleus;Canthon rufocoeruleus;NA
152;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;scrutator;Canthon scrutator;NA
153;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;semiopacus;Canthon semiopacus;NA
154;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;septemmaculatus;Canthon septemmaculatus;NA
155;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;simulans;Canthon simulans;NA
156;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;sordidus;Canthon sordidus;NA
157;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;subcyaneus;Canthon subcyaneus;NA
158;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;subhyalinus;Canthon subhyalinus;NA
159;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;triangularis;Canthon triangularis;NA
160;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;variabilis;Canthon variabilis;NA
161;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;vulcanoae;Canthon vulcanoae;NA
162;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthon;xanthopus;Canthon xanthopus;NA
163;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthonella;amazonica;Canthonella amazonica;NA
164;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthonella;leptoculata;Canthonella leptoculata;NA
165;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Canthotrypes;oberthueri;Canthotrypes oberthueri;NA
166;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Copris;amazonicus;Copris amazonicus;NA
167;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;abas;Coprophanaeus abas;NA
168;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;acrisius;Coprophanaeus acrisius;NA
169;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;bonariensis;Coprophanaeus bonariensis;NA
170;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;callegarii;Coprophanaeus callegarii;NA
171;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;christophorowi;Coprophanaeus christophorowi;NA
172;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;cyanescens;Coprophanaeus cyanescens;NA
173;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;dardanus;Coprophanaeus dardanus;NA
174;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;degallieri;Coprophanaeus degallieri;NA
175;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;ensifer;Coprophanaeus ensifer;NA
176;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;gamezi;Coprophanaeus gamezi;NA
177;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;ignecinctus;Coprophanaeus ignecinctus;NA
178;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;jasius;Coprophanaeus jasius;NA
179;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;lancifer;Coprophanaeus lancifer;NA
180;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;larseni;Coprophanaeus larseni;NA
181;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;parvulus;Coprophanaeus parvulus;NA
182;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;spitzi;Coprophanaeus spitzi;NA
183;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;suredai;Coprophanaeus suredai;NA
184;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;telamon;Coprophanaeus telamon;NA
185;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Coprophanaeus;terrali;Coprophanaeus terrali;NA
186;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Cryptocanthon;campbellorum;Cryptocanthon campbellorum;NA
187;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Cryptocanthon;peckorum;Cryptocanthon peckorum;NA
188;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;aspericolle;Deltochilum aspericolle;NA
189;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;aureopilosum;Deltochilum aureopilosum;NA
190;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;barbipes;Deltochilum barbipes;NA
191;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;carinatum;Deltochilum carinatum;NA
192;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;chalcea;Deltochilum chalcea;NA
193;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;crenulipes;Deltochilum crenulipes;NA
194;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;diringshofeni;Deltochilum diringshofeni;NA
195;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;enceladus;Deltochilum enceladus;NA
196;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;femorale;Deltochilum femorale;NA
197;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;fuscocupreum;Deltochilum fuscocupreum;NA
198;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;genieri;Deltochilum genieri;NA
199;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;granulatum;Deltochilum granulatum;NA
200;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;guildingii;Deltochilum guildingii;NA
201;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;guyanense;Deltochilum guyanense;NA
202;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;icarus;Deltochilum icarus;NA
203;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;inaequale;Deltochilum inaequale;NA
204;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;laetiusculum;Deltochilum laetiusculum;NA
205;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;lindemannae;Deltochilum lindemannae;NA
206;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;orbiculare;Deltochilum orbiculare;NA
207;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;orbignyi;Deltochilum orbignyi;NA
208;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;paresi;Deltochilum paresi;NA
209;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;peruanum;Deltochilum peruanum;NA
210;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;schefflerorum;Deltochilum schefflerorum;NA
211;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;septemstriatum;Deltochilum septemstriatum;NA
212;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;sericeum;Deltochilum sericeum;NA
213;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;sextuberculatum;Deltochilum sextuberculatum;NA
214;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;streblopodum;Deltochilum streblopodum;NA
215;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltochilum;submetallicum;Deltochilum submetallicum;NA
216;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltorhinum;armatum;Deltorhinum armatum;NA
217;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltorhinum;batesi;Deltorhinum batesi;NA
218;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltorhinum;bilobatum;Deltorhinum bilobatum;NA
219;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltorhinum;genieri;Deltorhinum genieri;NA
220;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltorhinum;guyanense;Deltorhinum guyanense;NA
221;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltorhinum;kempffmercadoi;Deltorhinum kempffmercadoi;NA
222;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltorhinum;robustum;Deltorhinum robustum;NA
223;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Deltorhinum;vazdemelloi;Deltorhinum vazdemelloi;NA
224;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;aenigmaticus;Dendropaemon aenigmaticus;NA
225;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;amazonicus;Dendropaemon amazonicus;NA
226;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;angustipennis;Dendropaemon angustipennis;NA
227;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;angustulus;Dendropaemon angustulus;NA
228;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;ater;Dendropaemon ater;NA
229;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;attalus;Dendropaemon attalus;NA
230;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;bahianus;Dendropaemon bahianus;NA
231;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;bluti;Dendropaemon bluti;NA
232;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;denticollis;Dendropaemon denticollis;NA
233;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;fractipes;Dendropaemon fractipes;NA
234;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;fredericki;Dendropaemon fredericki;NA
235;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;furtadoi;Dendropaemon furtadoi;NA
236;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;haroldi;Dendropaemon haroldi;NA
237;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;inemarginatus;Dendropaemon inemarginatus;NA
238;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Dendropaemon;larseni;Dendropaemon larseni;NA
